"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
17,14,8,11,4,2,6,4,6,11,3,2,4,10,4,7,5,8,3,4,5,4,3,6,4,22,4,4,4,8,4,6,2,3,5,7,4,26,7,6,8,4,7,5,6,4,6,4,4,2
30,18,10,11,12,3,1,7,5,11,0,7,7,13,5,7,9,7,6,8,4,4,5,6,2,26,6,3,10,4,8,3,2,5,6,5,4,26,6,0,1,6,2,3,5,2,4,4,1,4
25,17,9,7,5,4,4,7,1,15,7,7,9,5,7,3,4,5,3,6,8,5,5,3,4,13,5,3,2,7,3,9,6,1,1,3,5,28,2,3,9,2,4,6,7,3,5,1,6,9
25,12,8,10,7,4,3,3,6,18,7,6,3,8,9,5,6,7,5,4,8,6,4,5,5,33,6,6,3,4,5,4,5,8,6,6,5,32,6,4,4,4,4,6,5,5,3,9,3,1
29,15,11,6,10,7,4,1,8,10,5,4,5,11,4,6,10,4,5,6,4,4,5,5,5,27,6,4,2,7,3,7,4,5,2,4,6,28,3,3,4,2,8,2,2,2,8,2,5,5
13,18,10,6,9,7,6,4,4,9,3,1,4,3,2,1,5,8,8,4,6,3,6,4,4,18,6,3,2,4,6,3,5,4,3,2,1,23,3,3,6,4,2,4,5,4,4,3,4,5
14,17,4,5,7,2,5,4,4,13,7,4,6,7,1,6,9,7,3,4,6,7,3,5,9,20,3,3,6,3,5,3,7,5,2,2,10,32,7,2,4,3,4,10,3,10,8,4,5,4
18,9,4,6,11,4,2,3,6,19,3,7,1,8,2,5,7,6,4,9,4,3,3,10,2,21,2,4,2,5,12,4,5,5,6,4,6,26,5,4,4,6,7,8,1,5,3,3,3,6
20,11,5,6,13,6,3,3,8,15,7,3,3,7,5,5,9,4,5,7,3,2,2,2,8,31,7,4,4,5,5,7,3,5,5,2,2,25,3,8,5,3,4,4,5,6,2,5,4,2
15,7,7,9,9,4,7,3,6,12,4,6,5,6,8,5,4,3,2,12,6,6,3,7,6,35,6,6,5,3,9,6,4,5,4,4,3,22,7,3,4,5,4,3,4,5,2,7,1,7
26,13,7,8,11,8,4,2,6,17,3,5,5,9,7,3,7,4,3,1,6,4,7,8,7,25,4,2,7,4,3,7,5,6,3,3,7,30,6,3,5,7,3,3,7,2,4,8,5,4
19,11,4,9,7,3,2,4,4,16,7,4,2,3,4,2,5,2,4,5,5,3,4,3,5,26,3,5,1,3,4,5,2,0,4,7,5,23,3,3,7,5,2,3,3,3,4,6,4,6
22,13,8,9,4,3,5,4,5,18,3,5,3,11,6,7,4,3,3,1,3,4,6,4,7,18,5,4,4,3,6,4,5,6,3,7,1,26,6,2,3,4,5,6,6,1,5,3,8,3
23,20,14,3,13,1,2,6,5,13,5,6,2,9,5,6,2,5,4,9,4,4,8,3,6,22,4,0,4,4,4,4,3,7,5,3,5,28,6,3,4,3,10,2,3,6,4,5,4,4
22,8,10,7,9,5,0,4,4,8,4,7,4,6,3,4,2,3,2,8,3,4,8,5,2,23,6,4,3,4,4,4,6,3,3,2,4,29,4,4,0,4,12,5,2,3,4,5,6,6
19,15,13,5,8,3,3,7,1,5,4,5,5,7,5,6,8,6,2,3,4,8,4,5,0,22,6,4,2,4,2,6,3,3,5,5,2,26,4,4,2,5,6,3,6,7,8,4,5,4
23,21,10,6,2,0,2,4,5,10,3,3,7,3,5,6,9,7,2,4,2,1,6,7,5,31,10,8,3,6,7,4,5,4,5,3,5,22,2,2,3,3,1,3,2,8,6,6,4,7
30,12,6,9,7,6,5,6,5,18,5,11,6,7,4,8,8,3,7,6,5,3,2,4,4,25,4,4,3,6,8,7,5,0,4,3,4,21,4,1,5,3,7,7,3,4,4,5,5,1
23,19,11,6,11,1,9,4,6,9,6,2,3,5,7,10,4,3,7,3,3,7,8,2,4,21,9,4,6,4,4,6,4,4,1,2,1,36,5,7,6,5,10,3,6,5,6,7,5,6
17,7,8,7,6,3,5,7,6,9,7,1,4,6,4,6,8,2,5,3,3,5,4,2,9,29,6,6,7,6,2,4,2,6,5,6,3,25,3,2,6,8,5,2,2,7,6,5,5,7
21,18,9,13,8,2,5,6,4,8,4,2,5,7,5,6,4,7,4,3,6,2,6,2,3,20,4,4,4,5,5,5,2,3,7,2,4,26,2,8,7,8,6,8,4,9,3,4,3,1
16,13,7,6,13,3,6,5,6,12,6,4,4,5,1,6,6,3,4,3,6,3,5,4,5,27,4,2,9,5,4,7,7,3,5,10,5,21,2,4,5,1,3,4,3,4,3,9,4,4
27,15,6,8,7,1,8,5,5,14,4,6,8,8,9,5,12,5,7,5,6,7,6,4,4,26,5,4,2,6,6,3,2,7,5,6,2,15,1,3,5,6,8,2,2,2,3,2,1,9
23,16,9,11,8,6,6,5,3,15,9,3,2,7,5,5,9,9,6,1,7,6,3,8,2,20,3,4,3,5,2,5,4,4,3,2,4,25,6,4,7,4,5,6,6,6,7,6,0,5
29,9,7,5,8,5,8,5,1,9,8,5,4,3,8,2,8,3,2,5,5,4,3,9,3,29,1,6,5,6,5,4,7,3,6,7,4,28,10,7,4,3,7,4,3,2,9,5,6,5
23,15,7,3,7,5,3,2,8,13,4,2,8,5,5,3,8,2,2,7,3,4,7,1,4,17,2,7,8,3,1,4,6,2,2,3,1,34,2,8,5,7,2,3,1,5,8,8,4,5
21,5,9,4,13,5,2,4,6,9,2,6,3,6,5,3,5,5,2,10,6,5,6,5,3,19,1,5,7,3,1,4,5,3,3,7,3,24,4,2,3,3,8,4,3,6,5,1,2,3
24,10,10,5,6,5,4,0,3,14,7,2,4,5,8,6,5,4,5,5,2,6,3,11,4,23,6,4,2,7,4,1,2,8,2,4,5,18,3,4,6,5,4,3,3,1,9,2,2,3
30,12,9,8,10,6,4,5,3,15,3,2,3,7,6,5,7,9,4,3,8,5,6,6,7,27,4,7,5,6,6,6,6,7,5,5,2,26,3,2,7,2,6,3,8,5,8,3,6,3
22,7,4,6,5,2,7,2,5,15,3,6,2,8,4,5,7,3,5,5,5,6,1,7,2,28,7,5,3,5,6,4,4,2,2,5,4,24,5,11,3,2,2,2,2,0,2,7,5,4
20,14,13,5,10,6,4,0,9,12,5,6,5,12,4,4,8,5,3,5,2,7,6,6,5,23,5,9,4,3,4,1,5,2,3,3,5,29,2,4,4,5,2,11,3,5,5,2,5,8
28,14,10,4,9,4,7,3,4,16,2,6,1,7,2,0,9,8,6,5,3,7,6,11,1,35,8,7,5,6,4,7,6,2,3,8,4,31,9,7,7,3,4,6,6,2,3,4,2,8
13,13,8,7,8,9,5,5,7,22,7,5,5,7,4,2,6,5,4,3,5,5,4,6,6,25,6,4,3,6,5,1,3,3,5,5,7,29,7,1,3,3,1,3,6,7,0,9,6,5
18,14,11,8,12,5,3,3,6,9,6,4,4,3,2,5,6,9,5,5,4,3,5,5,3,19,2,2,3,4,4,4,6,5,6,7,4,27,6,4,5,6,7,5,5,5,3,1,1,2
20,7,10,5,9,6,5,7,1,12,8,3,4,9,6,0,11,5,7,6,6,5,2,7,1,31,3,3,5,6,7,6,3,4,4,8,6,27,6,4,2,4,4,2,5,4,6,2,7,7
15,9,12,6,5,8,5,9,4,16,5,6,2,4,3,4,5,4,2,2,5,3,6,8,6,32,4,3,7,6,6,6,4,8,8,5,4,17,2,7,8,8,1,1,5,2,2,3,4,4
18,16,9,8,6,4,7,5,7,13,2,2,8,9,1,4,2,6,5,0,8,4,8,2,6,21,3,7,9,5,4,4,6,4,3,6,4,22,7,3,5,7,3,2,6,4,4,3,5,7
27,18,6,6,6,7,4,5,4,12,4,4,5,10,4,3,6,8,5,4,2,6,1,6,6,21,3,1,6,5,11,2,3,0,3,5,5,23,5,3,7,5,9,4,3,4,7,7,5,1
31,9,7,9,9,3,2,6,3,11,2,4,2,11,3,4,8,4,6,8,6,3,6,8,0,22,3,6,8,5,3,3,1,4,2,7,6,18,4,6,8,2,4,2,2,3,0,6,5,4
19,13,3,4,7,3,4,6,4,6,2,3,6,3,3,7,6,1,5,4,2,2,0,2,1,25,3,1,8,1,1,2,5,8,7,4,9,33,5,1,7,3,5,5,2,6,3,2,6,9
18,10,8,1,11,5,4,5,5,12,7,7,1,5,4,3,3,3,1,4,4,4,6,8,4,27,9,7,5,3,8,2,2,4,5,4,2,26,4,4,7,2,4,4,2,3,10,2,4,10
19,15,5,6,16,3,1,6,9,9,5,6,3,2,5,4,9,7,7,7,5,4,6,4,5,35,4,5,5,5,6,4,9,5,6,2,7,33,5,4,7,3,6,2,5,7,3,3,4,7
20,12,10,5,10,5,6,4,8,9,5,7,2,5,3,4,6,3,7,5,4,9,8,5,8,22,1,5,6,4,4,6,4,4,3,5,3,30,7,6,3,4,9,8,8,4,6,4,3,6
26,10,8,8,8,8,6,4,5,21,6,3,7,9,6,4,7,3,1,0,3,5,3,2,2,18,4,5,6,6,6,1,5,4,1,3,5,24,7,7,1,3,2,7,3,1,5,6,3,5
21,14,9,5,10,5,4,4,3,9,2,3,5,3,7,1,4,6,2,6,7,5,4,4,4,18,6,5,8,4,5,2,4,5,8,2,5,24,6,3,6,2,4,3,1,5,5,4,4,3
20,19,11,5,12,2,6,4,4,5,2,1,6,12,11,9,7,4,5,4,7,3,8,1,3,25,4,5,8,2,8,3,6,3,4,5,5,36,5,1,5,4,7,5,6,9,7,4,5,5
24,10,8,6,12,4,2,3,6,17,5,8,4,9,6,6,6,4,5,5,5,2,1,6,4,27,5,7,3,5,3,5,5,5,4,2,3,27,3,3,2,11,3,6,5,3,2,8,7,4
19,14,7,2,7,8,6,2,4,15,4,4,2,7,5,4,8,5,4,4,1,2,3,5,1,26,7,7,4,4,2,4,6,8,4,7,4,23,3,1,4,3,5,2,3,4,6,2,3,8
22,14,8,6,5,2,2,3,5,17,2,7,4,4,5,1,4,7,4,7,1,3,4,3,4,26,2,3,7,7,3,4,4,4,5,10,4,29,4,4,9,5,3,3,4,4,1,2,3,5
27,14,7,7,11,1,5,2,7,14,7,3,5,5,4,4,2,6,3,2,5,8,2,4,3,26,5,4,1,2,7,7,4,3,4,3,5,34,5,6,7,8,4,3,6,5,3,4,7,2
23,12,10,16,4,7,8,1,7,7,5,1,5,5,4,0,9,5,4,4,7,6,1,7,5,29,4,7,6,8,5,8,4,2,5,4,5,20,6,4,6,8,5,3,3,6,3,5,4,2
16,15,11,4,8,5,5,4,4,15,3,4,3,5,0,4,4,4,1,6,5,5,8,4,7,24,4,3,6,3,7,4,4,3,4,2,6,28,6,6,4,5,3,4,7,2,2,5,8,2
22,15,4,7,5,6,10,3,4,10,6,2,6,8,6,7,5,2,1,2,8,6,6,6,5,25,5,5,6,6,4,6,6,6,4,5,0,32,5,3,6,6,7,2,3,4,5,1,6,5
17,8,8,4,6,4,4,6,4,17,4,1,5,9,5,5,6,2,2,2,6,4,4,3,5,22,1,5,7,5,3,3,3,3,10,5,2,28,6,1,4,6,4,2,5,6,3,5,4,2
14,17,5,7,13,3,3,4,3,14,1,2,6,8,5,5,5,5,0,6,6,7,4,4,5,30,7,4,4,5,5,2,4,5,7,4,3,20,4,2,7,2,5,3,4,3,4,5,7,4
23,19,10,11,16,4,5,6,4,12,7,3,4,9,6,6,5,6,4,9,6,3,3,3,0,30,4,6,4,7,3,2,4,6,7,5,7,23,5,6,3,4,3,3,1,5,6,5,7,2
17,14,8,4,9,2,3,2,2,11,6,3,3,8,4,4,5,5,4,3,2,1,1,3,0,26,2,5,6,6,6,3,3,4,5,0,3,29,7,2,7,8,4,5,8,4,2,3,9,1
13,7,8,4,6,3,2,3,3,11,4,8,3,5,7,5,0,0,1,5,1,0,5,5,4,28,10,5,4,6,9,9,7,3,6,4,4,28,5,6,3,10,2,7,3,10,5,0,7,3
18,6,9,7,9,5,3,5,4,8,6,6,6,7,2,6,8,7,6,6,3,6,4,10,3,32,6,5,5,5,3,5,2,8,5,8,4,20,5,4,3,2,5,8,3,3,3,6,4,9
21,13,11,3,15,2,4,3,11,15,5,3,9,7,8,2,4,5,5,4,4,3,3,3,4,26,4,0,5,4,5,2,2,6,2,7,3,25,5,3,5,9,3,7,8,2,5,6,4,5
18,11,4,4,13,7,4,7,2,17,7,6,4,10,3,6,8,9,9,9,6,7,3,5,2,22,2,3,4,5,3,3,3,11,6,7,5,24,5,2,5,3,6,5,3,3,2,3,4,4
13,12,8,5,10,7,1,2,3,11,5,4,5,3,4,4,6,6,6,4,4,5,3,5,7,29,4,4,6,4,4,7,8,7,3,3,5,30,3,3,3,2,7,5,4,4,7,7,6,5
21,18,4,6,7,5,8,7,4,9,5,4,12,5,4,5,8,2,7,4,8,7,6,6,6,14,5,4,3,3,2,4,2,10,3,5,4,28,5,2,9,5,5,3,2,6,5,5,4,5
20,11,11,6,9,8,3,4,8,15,7,2,3,11,3,2,8,3,5,4,1,4,3,7,3,30,4,2,5,4,6,6,4,5,10,5,2,33,4,4,5,2,3,6,1,4,0,3,5,11
26,14,6,7,13,3,1,7,5,12,4,4,3,4,5,2,10,4,10,4,1,2,4,1,6,26,1,8,6,6,8,6,4,2,3,2,4,20,1,2,10,6,5,4,3,2,2,2,2,5
17,8,12,4,9,5,4,1,6,9,3,4,3,5,3,8,5,2,8,3,8,7,8,2,5,21,6,5,4,6,2,0,3,6,4,5,3,30,4,6,9,5,5,2,10,6,4,8,9,4
14,12,12,7,12,6,3,6,8,21,5,2,4,8,2,5,5,3,6,8,3,4,6,7,7,21,7,8,3,3,4,6,5,2,1,2,3,20,5,9,10,6,2,3,4,4,4,5,1,5
15,9,8,7,9,2,3,3,3,16,5,9,4,9,8,7,7,3,4,4,7,7,2,2,4,21,4,2,4,6,2,4,5,6,1,7,2,18,2,4,5,5,2,3,3,3,7,6,3,6
18,10,10,3,10,5,4,5,5,20,5,3,4,12,1,5,1,8,5,4,1,3,3,5,4,24,6,7,3,4,4,4,4,5,9,9,6,36,8,9,6,6,3,3,3,7,8,4,4,7
23,15,8,6,6,5,0,7,4,16,2,5,11,9,7,5,10,5,5,3,4,3,2,6,6,27,2,4,5,4,7,6,4,6,6,3,5,29,4,6,3,3,4,3,3,1,5,12,6,4
21,17,9,6,6,4,11,7,12,16,9,6,3,4,4,6,7,7,2,4,3,7,4,5,6,30,4,8,5,2,3,5,2,2,4,5,8,19,6,5,4,5,3,4,1,4,2,7,5,1
19,16,10,6,10,4,9,4,11,10,2,3,4,9,4,3,9,8,8,5,4,2,3,4,3,33,10,6,2,5,8,4,6,7,6,3,6,38,6,7,6,4,5,6,4,7,4,3,4,7
15,8,4,10,7,5,3,2,4,15,7,3,3,8,2,3,10,6,4,3,9,1,2,1,4,34,10,5,9,5,8,3,5,6,10,4,7,33,7,3,7,8,5,6,3,5,5,3,5,2
16,12,9,6,12,3,4,5,6,8,4,5,5,7,4,4,8,2,7,4,5,2,6,4,2,19,3,5,4,5,4,4,1,3,8,7,5,39,4,4,5,8,7,5,5,9,8,3,4,6
22,8,8,7,9,1,7,9,3,10,2,4,1,6,1,5,7,6,3,5,4,4,4,7,5,33,3,7,7,5,7,6,5,3,3,7,4,30,5,5,4,3,4,7,9,2,4,6,6,7
17,14,6,7,10,4,1,6,5,7,7,4,8,5,5,6,11,5,6,3,3,0,2,4,1,15,4,1,3,4,6,1,2,4,2,3,5,35,9,4,6,3,4,3,4,4,6,7,3,6
20,13,10,6,4,6,6,6,4,13,5,3,1,13,4,2,8,3,4,1,4,4,4,6,1,25,4,6,8,7,5,0,2,8,6,3,3,29,5,4,7,6,5,5,7,4,5,4,4,7
18,11,3,7,5,4,4,2,8,19,4,5,5,6,8,2,3,5,5,5,2,2,4,4,6,32,8,6,4,6,6,5,11,6,3,3,4,43,5,6,13,9,8,4,8,5,3,7,6,4
21,9,6,7,7,5,4,8,3,16,8,6,2,6,7,3,4,3,2,6,6,8,4,4,9,15,5,5,4,6,3,4,4,5,3,2,4,29,6,4,6,4,4,7,2,4,4,1,2,2
29,16,9,9,14,3,7,4,9,10,5,4,4,8,7,4,10,4,5,5,4,1,8,5,4,29,6,9,6,4,7,2,5,5,7,2,2,20,2,1,6,5,5,5,4,5,5,4,4,4
26,13,10,7,7,5,5,6,3,19,3,4,5,13,6,9,8,2,5,4,5,2,3,1,5,17,9,1,3,4,7,3,5,2,2,7,4,17,3,2,3,5,2,3,6,2,5,2,3,5
17,9,12,4,6,4,2,9,5,14,4,2,1,6,2,3,5,3,2,2,5,0,7,7,5,16,4,1,3,4,4,4,2,2,3,3,2,33,7,5,7,5,6,7,5,1,6,3,2,8
17,16,9,12,8,8,4,4,2,9,3,2,6,7,6,2,4,8,2,1,2,4,2,5,4,23,3,2,4,3,1,8,3,4,2,10,5,21,3,11,5,2,0,4,5,4,4,5,2,2
24,12,6,4,13,4,4,3,7,15,7,4,3,2,5,2,6,6,6,4,6,5,4,6,2,23,4,4,4,2,4,4,6,5,4,6,4,25,3,7,4,5,5,3,1,5,2,5,8,4
14,18,9,6,9,6,7,2,6,9,4,9,8,6,3,2,5,5,7,6,3,10,6,6,2,26,2,6,4,1,7,5,5,3,2,4,1,27,4,2,6,6,3,3,2,10,8,5,2,4
18,12,12,10,15,4,5,3,7,18,4,7,1,5,6,2,5,7,5,8,3,4,6,4,8,33,3,5,2,5,7,4,6,9,4,11,4,31,4,9,6,5,2,7,6,4,7,9,5,8
23,11,13,4,7,7,3,11,2,10,2,5,9,4,2,4,5,5,2,4,6,6,3,4,4,27,4,7,5,4,7,5,3,4,6,5,3,22,4,3,3,3,3,6,5,2,4,8,3,2
28,11,9,8,9,4,5,5,4,14,3,5,5,8,4,4,10,4,4,10,2,6,6,5,3,22,6,6,3,2,0,6,3,3,4,4,3,23,5,3,3,4,9,7,7,4,5,9,6,3
20,11,12,6,5,8,4,5,4,7,2,4,6,8,6,5,9,4,5,3,5,2,7,2,4,28,6,2,8,5,4,11,3,8,5,3,2,21,4,4,2,7,4,4,5,4,7,3,5,4
27,14,12,4,8,5,4,6,4,16,4,9,8,5,6,3,6,6,5,6,2,7,3,10,7,18,0,3,7,3,2,7,4,5,6,4,4,34,8,3,7,1,3,5,1,9,9,7,9,1
18,15,5,9,6,5,6,3,5,7,5,3,8,10,7,9,7,4,4,2,7,3,3,6,4,21,4,4,4,4,2,2,4,4,9,5,2,15,2,6,6,6,2,3,4,5,6,2,3,4
21,16,7,4,2,2,8,5,5,17,3,8,1,6,3,2,7,1,3,0,2,6,3,0,5,19,3,0,4,4,8,3,3,6,4,4,6,28,2,1,6,5,2,4,5,2,7,4,6,4
20,17,8,4,9,7,2,6,3,8,5,3,6,4,4,3,5,7,4,2,2,3,6,2,4,21,3,6,8,6,4,4,6,6,5,2,4,27,4,4,3,6,4,5,3,7,3,3,7,5
19,12,12,8,13,4,4,10,8,13,5,10,5,5,8,2,7,6,5,16,5,5,7,3,9,14,5,1,3,2,5,3,5,2,6,1,2,30,6,7,6,4,7,7,8,3,4,4,2,4
17,9,6,5,10,1,5,6,6,9,2,4,2,7,4,1,6,2,6,2,2,5,0,7,4,21,10,4,1,3,3,6,2,1,8,2,2,25,0,3,7,0,2,4,7,6,9,5,4,7
26,14,9,8,11,5,5,6,6,13,3,9,4,7,5,6,6,2,4,1,1,4,3,11,3,17,4,4,5,3,4,4,3,0,2,2,3,35,4,5,12,9,3,6,5,3,4,9,2,5
22,11,14,6,7,4,1,5,2,13,5,6,1,1,5,4,3,5,3,7,5,1,7,8,6,25,7,2,2,7,1,7,6,4,5,1,3,26,3,2,6,5,4,6,4,4,5,4,3,6
19,14,8,5,5,4,6,7,3,19,6,4,5,11,7,8,9,4,5,3,5,8,2,6,2,24,4,3,7,3,1,9,8,4,4,4,4,23,4,4,7,4,6,1,3,6,2,4,2,3
19,16,4,3,6,5,4,7,4,12,3,4,6,8,3,3,3,3,7,7,7,4,2,8,1,23,4,6,9,5,5,8,5,4,2,4,5,23,8,2,6,4,3,7,5,6,1,9,2,1
28,8,6,7,10,3,7,4,1,13,4,4,2,10,4,6,3,2,1,6,6,1,6,11,4,29,2,4,6,9,4,3,6,4,4,7,6,29,3,2,4,4,5,4,6,6,4,7,14,5
13,15,4,5,3,4,9,3,6,17,6,4,7,3,4,4,4,6,6,1,2,3,1,4,5,24,3,4,4,5,4,1,8,6,4,2,5,23,5,5,5,2,4,3,7,3,4,6,6,3
24,11,10,10,9,8,5,0,5,13,4,3,2,9,4,5,6,2,6,6,9,7,10,6,3,28,6,5,3,2,2,6,5,4,4,5,5,36,5,6,4,4,7,4,4,5,3,3,8,10
22,16,6,8,10,7,5,4,4,9,3,4,5,4,8,0,3,5,6,2,8,3,4,10,6,27,3,4,7,4,5,3,9,3,3,4,8,25,5,2,4,5,6,1,8,9,3,2,2,5
19,12,5,7,5,1,4,6,4,14,9,2,6,5,5,4,4,5,1,6,1,3,3,8,3,22,6,4,7,2,1,2,2,4,3,6,5,34,8,7,6,5,9,6,6,8,2,2,2,2
24,12,9,6,11,4,7,4,3,12,9,6,5,6,4,6,5,5,3,4,3,6,5,5,1,16,3,7,4,4,1,8,5,3,3,0,5,20,4,4,3,5,6,7,2,4,3,3,1,7
21,19,10,7,3,5,4,4,2,13,9,5,5,11,7,3,5,6,3,1,5,5,7,10,4,28,5,2,5,8,4,3,4,3,5,7,3,27,2,5,4,4,6,7,9,4,2,5,1,2
15,9,3,14,6,4,2,5,3,18,4,5,6,6,4,1,9,5,4,3,14,2,3,3,5,30,8,8,6,5,3,3,5,4,4,8,10,30,4,5,5,4,2,1,1,3,6,5,4,7
25,9,7,5,7,10,5,6,1,9,2,2,3,3,3,3,9,4,3,5,5,2,1,5,5,27,4,5,3,6,6,8,5,2,2,5,4,26,5,1,5,4,3,3,8,6,3,3,3,2
22,10,8,7,6,6,3,1,2,13,3,4,2,9,3,4,11,5,4,4,5,6,6,5,7,26,6,2,6,3,6,6,1,2,5,7,5,27,6,5,5,4,5,5,2,3,3,7,6,2
21,15,8,4,9,1,5,4,2,10,4,4,5,6,6,7,8,6,8,8,3,4,9,4,2,16,6,4,6,5,4,7,6,4,3,4,1,24,6,1,4,7,6,5,3,3,10,2,3,4
20,18,12,9,9,4,4,3,5,19,7,5,5,11,3,3,11,4,6,2,7,5,1,5,5,30,2,7,7,2,7,7,6,5,4,8,5,25,6,9,2,5,5,3,2,11,4,9,5,6
19,12,9,6,5,4,1,3,3,19,8,8,3,9,1,4,10,6,8,3,4,4,4,2,5,23,7,9,4,8,3,4,4,3,5,2,4,27,4,2,3,2,3,7,4,4,5,6,5,4
20,14,6,4,12,4,6,3,5,7,2,4,6,6,4,3,4,2,4,3,1,2,2,6,3,21,4,3,8,1,4,3,5,4,6,5,1,26,7,6,9,4,6,2,5,0,5,1,4,4
27,15,13,4,9,3,4,5,1,14,4,5,2,2,6,6,10,4,4,4,0,7,6,4,4,23,5,7,4,3,3,6,2,8,3,4,9,23,4,2,3,6,3,9,2,2,5,4,7,7
22,10,10,9,10,4,3,5,6,8,2,3,6,6,4,4,7,1,4,4,4,8,6,2,5,28,1,0,6,1,6,5,6,4,5,2,6,29,5,8,4,5,5,6,3,6,8,7,4,5
17,13,10,5,7,5,7,4,5,6,4,2,3,6,7,6,4,2,1,6,5,5,6,2,5,22,4,4,4,0,3,8,3,3,5,4,3,29,4,9,5,7,7,3,8,5,5,2,3,6
19,9,5,4,11,5,5,4,5,16,5,2,2,5,7,3,6,3,5,9,3,4,0,6,6,22,2,5,8,9,4,2,4,2,0,5,10,36,8,2,6,4,2,9,5,9,7,3,7,3
18,8,11,7,9,5,3,5,2,14,5,4,2,8,8,3,3,3,5,7,4,2,3,8,3,29,4,2,6,4,4,3,9,3,4,6,4,26,7,2,4,1,10,7,2,6,2,6,6,3
21,16,9,7,3,5,1,2,4,15,6,5,5,9,5,8,7,10,1,2,4,6,2,4,1,28,1,4,10,2,3,2,5,6,1,5,7,27,3,4,7,4,5,4,3,3,5,1,6,8
25,10,8,7,3,5,4,3,1,14,3,6,1,5,7,2,9,4,5,5,1,3,2,12,2,24,3,7,4,0,8,6,5,8,5,6,5,30,6,6,2,5,3,6,1,5,5,7,3,3
25,12,8,8,9,4,5,6,2,11,6,7,5,5,6,6,6,3,3,4,1,7,6,4,4,30,5,4,5,9,6,2,7,3,4,6,5,28,5,7,5,4,4,9,5,9,4,1,8,3
