"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
14,8,13,7,5,13,9,4,3,10,6,7,12,6,7,8,4,2,8,4,6,9,2,4,7,4,1,5,7,3,1,8,5,5,4,1,6,7,6,5,1,7,2,6,6,4,9,4,2,6,28,1,5,5,3,3,4,8,3,7,3,7,5,5,0,4,36,6,5,2,6,4,3,4,7,3,3,6,2,5,6,7,7,41,5,8,3,7,5,7,4,4,8,4,5,1,1,8,3,3
18,5,8,14,7,10,10,4,10,10,5,18,15,0,13,9,6,4,9,3,7,9,5,7,6,5,5,4,8,9,3,4,3,4,5,11,4,6,8,4,2,5,10,7,7,3,4,4,2,3,26,6,4,8,4,9,4,6,2,2,2,4,4,1,8,7,39,7,5,8,4,2,5,6,4,7,3,4,7,5,4,5,6,35,7,7,6,8,6,2,2,6,8,2,6,6,2,2,5,4
10,5,6,5,6,4,7,5,7,9,2,17,18,6,4,10,17,4,6,4,6,9,13,6,10,9,2,11,7,3,7,5,7,6,10,10,2,2,6,3,2,10,2,4,5,6,9,7,8,5,45,4,4,4,7,6,7,1,10,3,3,11,6,5,3,3,45,4,2,3,2,7,5,7,4,4,11,4,6,4,4,3,2,40,4,6,2,3,5,10,5,3,5,5,5,5,1,1,5,6
16,7,12,8,6,10,10,6,5,7,4,8,17,2,6,2,11,4,7,6,6,4,4,3,5,7,4,3,9,2,1,4,6,8,11,5,4,4,6,5,4,10,4,6,8,4,6,9,3,5,38,5,5,5,7,3,7,5,3,7,5,5,6,7,1,6,30,4,7,7,3,8,2,4,3,3,6,5,4,5,3,4,3,40,5,4,5,9,2,3,5,7,8,4,3,6,6,6,3,6
13,5,6,5,9,4,8,3,7,6,1,11,18,2,3,5,9,4,13,6,5,7,11,2,9,6,13,10,7,3,3,5,1,10,8,3,7,4,12,4,7,7,5,6,7,2,5,3,7,10,28,4,7,1,2,7,2,2,2,2,6,6,1,5,5,6,24,9,8,2,5,0,3,3,5,5,4,4,8,3,3,4,8,31,5,0,7,3,6,5,0,4,4,1,3,4,1,5,6,4
15,4,8,9,8,12,14,9,4,12,5,11,23,6,3,5,19,3,7,4,3,6,5,4,6,7,2,4,7,4,5,4,7,9,5,5,3,4,10,1,4,7,5,4,5,8,3,5,2,4,26,3,8,5,3,2,4,7,5,3,4,5,4,3,3,5,33,5,4,7,3,6,3,8,3,4,3,9,2,7,2,4,6,41,3,4,8,3,3,6,3,7,5,10,2,6,6,3,7,3
20,9,11,8,8,15,2,7,9,13,5,13,21,7,10,7,13,8,9,5,6,8,8,6,12,8,6,7,8,7,6,10,3,8,5,4,5,4,10,3,3,12,11,4,5,8,2,2,5,5,31,3,8,5,2,3,9,5,4,2,7,2,6,7,5,1,35,3,4,9,5,7,5,3,7,2,5,4,4,4,6,6,1,24,5,2,3,2,4,4,8,2,3,6,2,4,4,6,3,2
9,5,9,9,5,7,9,6,8,7,5,17,30,4,6,8,9,5,5,10,9,4,2,6,8,3,5,9,12,5,6,10,13,10,3,4,3,3,11,2,3,6,6,6,4,2,3,9,9,6,31,7,5,1,6,4,8,3,2,5,3,5,6,4,2,2,29,4,4,2,7,9,5,2,2,3,7,2,3,1,7,9,3,39,6,4,4,4,3,10,4,4,5,2,7,3,4,2,8,5
14,3,8,10,4,11,8,6,4,11,4,20,11,4,9,6,17,4,4,3,7,6,8,4,7,7,2,10,3,5,5,7,3,4,4,10,3,4,10,7,2,5,8,6,4,10,6,6,4,3,40,7,7,6,9,2,4,6,4,4,8,6,1,5,5,7,38,3,3,3,1,6,3,3,8,5,5,5,2,7,3,6,5,32,6,5,3,2,6,5,3,4,4,3,5,4,1,5,5,3
12,6,6,6,3,14,12,5,4,11,10,6,16,8,5,12,13,4,7,9,4,10,5,3,2,3,3,9,7,4,4,8,2,8,5,5,5,6,10,6,2,5,1,7,4,5,4,2,5,5,36,4,4,2,6,7,7,7,3,3,2,3,9,2,9,5,44,0,4,3,8,7,5,6,4,5,4,3,7,2,4,4,5,32,4,6,5,6,3,8,3,7,3,3,6,1,2,6,6,5
12,9,11,5,3,10,6,3,8,8,8,18,18,6,9,9,7,4,9,2,4,9,7,4,8,6,1,3,4,2,3,6,2,10,7,5,0,4,11,4,4,5,7,6,8,4,6,7,3,4,36,10,3,3,5,5,6,8,8,6,3,7,7,5,4,2,36,6,4,5,3,5,4,2,5,3,14,5,6,2,5,10,1,44,2,4,8,4,6,4,1,10,5,8,3,5,6,7,5,4
16,4,7,9,7,10,11,4,7,9,5,14,17,4,8,5,12,5,2,6,6,7,6,5,10,8,4,10,11,3,8,7,7,10,9,7,5,8,11,1,4,2,3,3,6,6,8,6,3,2,30,4,3,4,6,8,6,4,4,5,9,9,4,2,1,5,33,5,3,5,2,5,3,7,5,2,6,5,5,6,12,5,5,20,5,4,2,3,5,2,4,2,4,2,3,0,7,4,3,2
13,4,7,8,10,7,9,7,9,8,4,10,12,6,5,9,12,3,6,6,7,4,2,2,8,8,4,3,7,1,5,5,3,7,7,9,4,9,11,2,5,9,8,4,5,4,6,4,8,4,36,4,6,5,3,2,6,2,6,10,2,3,8,1,6,4,36,6,7,4,3,4,2,6,4,5,5,2,3,2,6,8,8,33,3,4,4,4,2,11,4,3,3,3,5,8,6,2,4,6
20,9,11,8,6,8,11,10,3,11,3,14,14,0,8,7,10,2,10,6,7,4,6,4,7,3,4,7,4,3,5,3,2,6,9,3,7,3,8,5,6,1,4,2,6,5,3,5,5,3,34,4,5,7,8,6,2,4,5,6,7,2,1,4,3,5,35,1,3,6,5,3,6,9,2,3,8,3,5,9,7,7,3,33,6,4,4,6,3,7,2,5,5,2,4,6,5,5,8,6
9,7,10,6,4,11,9,0,6,9,5,13,13,5,3,5,5,4,3,3,4,3,4,3,9,8,8,9,6,5,4,8,3,4,4,6,5,4,8,5,2,6,2,5,4,4,5,5,3,4,34,4,8,5,3,4,4,9,5,6,2,6,2,4,5,6,31,3,4,5,8,5,4,6,4,4,2,4,1,8,4,6,3,35,5,6,1,5,3,3,8,3,3,1,4,4,6,3,3,4
19,9,5,4,5,8,8,8,8,6,2,16,14,6,8,3,15,7,6,4,3,6,5,4,13,1,3,3,6,5,9,9,3,5,4,4,3,1,6,8,1,8,5,3,6,4,6,5,5,6,34,3,1,4,1,4,6,8,4,5,3,5,7,8,6,6,28,2,2,3,3,4,3,3,5,2,6,3,5,7,4,2,5,33,2,6,8,5,5,1,8,1,5,2,5,5,5,1,8,7
11,8,10,8,3,6,9,5,6,12,5,16,15,8,6,6,11,7,10,4,4,8,6,4,6,7,4,8,5,2,3,6,2,9,9,5,3,1,6,9,7,4,2,5,9,6,5,5,4,1,36,4,7,7,2,5,8,6,7,1,3,4,1,5,2,5,32,6,2,7,5,5,4,5,5,5,3,3,5,5,9,5,2,30,0,6,4,5,4,3,2,5,4,3,3,4,7,4,5,6
18,8,12,5,7,10,11,4,8,10,3,16,13,6,11,3,12,2,9,4,1,5,13,1,10,3,6,4,7,3,6,10,4,8,2,4,0,2,13,3,6,8,4,3,3,4,2,4,1,10,28,1,6,7,2,6,7,7,2,4,4,4,3,2,4,4,46,4,1,4,5,10,4,4,4,8,3,3,5,6,5,2,3,39,8,1,0,3,6,8,5,8,7,6,6,5,7,2,5,5
15,4,12,10,3,11,7,4,9,9,4,19,14,4,5,7,12,6,7,4,6,7,9,5,8,10,2,8,5,4,2,9,4,11,6,4,4,6,9,5,3,5,5,3,2,4,6,4,6,4,28,8,3,8,6,4,3,3,1,6,5,5,2,5,1,4,35,4,4,6,5,4,3,2,5,4,8,6,6,4,5,6,4,37,3,5,5,8,3,7,3,4,5,2,4,5,2,3,7,6
12,5,6,6,6,8,5,6,5,5,3,7,13,2,8,6,16,5,9,6,6,11,5,4,7,6,4,8,5,6,6,5,1,9,7,2,5,4,4,2,7,4,3,5,5,2,7,6,3,3,27,5,4,5,9,5,5,1,0,3,3,2,5,5,7,2,37,6,6,9,3,2,2,3,4,2,12,3,1,7,3,6,6,37,3,4,5,5,5,6,7,4,2,5,6,3,4,3,5,5
17,6,9,7,10,5,14,4,7,11,6,14,12,7,6,9,13,3,10,5,7,5,3,5,3,6,5,5,6,7,2,5,2,2,7,8,6,3,4,4,6,5,3,4,5,5,5,4,5,3,33,5,4,4,6,8,8,5,5,5,0,7,4,6,4,4,35,7,6,3,3,5,5,7,5,4,9,4,4,6,4,5,2,29,1,7,7,1,7,4,6,4,5,8,4,9,5,4,2,1
16,6,4,8,9,9,5,6,10,14,3,14,14,2,7,10,8,6,6,5,11,7,7,6,10,3,1,5,8,3,4,7,11,4,4,8,6,5,8,5,6,2,6,8,6,4,4,6,5,1,29,2,2,2,5,5,6,6,1,3,2,7,0,4,3,1,37,7,8,4,8,5,4,1,2,3,4,4,5,5,4,4,7,39,4,3,2,6,7,3,5,3,3,11,7,5,2,1,3,7
23,10,4,16,6,11,12,7,8,6,8,14,15,4,8,5,11,4,7,5,7,6,4,3,5,11,8,6,6,2,4,9,8,5,9,4,8,2,9,4,5,6,3,2,5,3,5,6,11,7,27,7,2,6,4,1,5,2,2,1,2,6,7,5,7,2,34,3,5,6,6,5,3,6,8,6,2,4,5,6,8,4,6,29,1,4,4,4,2,1,6,6,1,3,8,3,6,8,3,1
14,10,6,7,7,6,11,5,4,9,2,23,14,4,5,5,13,11,6,5,6,5,10,6,6,4,4,5,9,3,3,5,7,4,5,9,6,7,6,6,8,7,7,4,4,4,2,2,5,5,28,1,4,1,5,4,5,7,2,8,5,5,4,4,8,3,44,5,6,8,5,4,5,2,10,7,3,5,4,2,2,7,3,34,7,5,4,1,5,6,4,4,2,3,8,4,5,2,4,4
14,7,10,10,3,5,8,3,4,11,2,19,17,4,5,10,15,2,11,10,6,12,9,5,6,4,5,8,10,8,4,2,3,6,8,6,4,2,7,4,8,6,6,3,2,10,4,6,4,6,33,3,3,7,4,8,4,6,7,9,4,7,4,7,1,5,23,2,7,4,2,4,2,6,1,4,4,5,2,3,4,3,6,38,4,4,1,6,5,5,8,11,2,4,3,2,5,6,5,4
15,4,10,11,4,7,10,5,4,9,3,11,21,8,6,2,12,4,10,4,9,7,9,3,8,8,4,4,7,2,5,9,3,5,8,7,2,6,12,3,2,10,6,2,5,5,7,4,5,6,30,4,10,4,3,2,5,4,1,6,6,2,2,3,3,9,35,11,7,5,4,4,5,3,2,3,8,3,3,5,3,6,2,43,1,5,7,5,5,4,3,4,5,11,3,4,7,11,3,7
7,4,12,6,5,8,6,8,3,6,5,14,15,6,3,4,8,6,10,5,3,4,8,5,5,2,2,8,3,3,2,8,7,11,5,5,6,5,11,2,8,3,5,8,5,1,4,6,7,2,26,2,6,4,4,1,2,5,2,6,3,4,1,2,7,2,38,6,7,5,5,11,6,0,2,5,8,6,3,5,3,4,1,45,5,3,5,6,11,5,4,5,9,6,7,7,2,4,4,5
10,7,10,9,8,9,7,2,8,10,3,10,12,7,4,8,10,5,11,2,4,6,11,5,6,4,4,7,10,5,6,9,6,5,10,0,1,6,8,2,5,6,3,2,7,2,6,5,4,4,33,2,2,8,7,6,3,2,2,1,7,4,7,3,4,5,37,3,4,8,3,5,1,7,5,4,4,3,2,4,5,6,2,29,1,2,4,3,5,5,2,5,2,3,1,6,3,3,5,1
15,4,11,7,3,7,6,7,6,12,4,11,15,2,9,7,13,2,7,5,10,10,10,8,12,7,5,5,11,2,7,2,5,7,11,5,3,4,7,4,2,7,6,5,8,2,5,5,3,4,33,1,2,5,5,10,4,3,5,3,5,5,5,6,8,3,32,6,6,7,3,3,5,3,3,4,5,3,2,4,2,3,4,33,3,6,7,3,6,5,2,8,7,4,2,6,4,2,5,1
18,7,7,13,8,11,9,8,9,8,3,6,15,4,4,9,10,3,8,6,6,7,1,6,5,11,5,4,6,4,2,10,0,9,12,8,3,1,12,1,5,4,3,5,6,2,5,5,3,5,41,8,2,4,3,7,5,8,6,2,7,3,2,3,2,8,36,4,7,13,4,8,5,4,9,5,4,4,2,2,4,4,9,23,1,1,5,4,6,4,8,4,6,6,4,1,4,3,7,4
17,3,12,7,6,7,12,4,4,9,3,12,15,5,7,11,9,2,11,2,5,6,6,9,5,6,5,8,9,6,2,9,2,7,9,0,6,2,10,4,4,6,9,5,4,3,4,2,5,6,32,2,3,9,3,4,3,7,2,2,2,7,6,1,8,9,29,9,3,3,3,2,4,4,3,5,2,5,5,3,4,3,7,33,6,2,4,4,3,5,6,4,4,2,4,6,4,11,4,4
15,7,6,5,9,10,11,8,11,8,3,15,17,7,7,7,8,6,8,3,6,12,7,7,9,9,7,10,10,3,3,10,2,5,8,6,7,3,13,5,4,9,3,5,2,2,1,5,7,3,44,4,2,5,3,7,7,5,9,6,6,3,6,4,4,0,27,4,5,6,5,3,5,3,3,3,3,8,4,5,3,4,1,34,6,2,3,1,2,4,4,6,8,3,7,3,4,2,4,5
14,5,11,10,4,8,10,1,6,14,0,12,20,8,6,7,8,3,7,1,4,7,4,8,12,10,4,4,5,4,9,5,7,6,4,2,4,5,9,3,3,7,2,8,2,7,3,9,4,5,40,5,8,3,9,5,1,5,2,6,5,7,2,5,4,6,24,3,1,1,3,1,7,7,4,1,6,4,6,5,6,3,2,36,8,4,3,2,12,5,8,1,6,5,4,5,5,4,4,5
12,3,13,5,5,11,10,4,4,6,4,10,15,2,3,6,9,5,12,2,5,8,4,5,4,10,12,5,5,6,6,8,5,5,4,3,5,4,10,2,4,5,4,3,2,5,4,5,6,5,31,4,6,4,5,3,5,5,4,2,8,4,4,6,7,4,38,7,9,7,4,4,4,3,4,1,5,10,3,4,3,3,3,33,4,3,4,6,7,4,8,6,3,5,5,5,3,5,6,4
13,3,5,6,11,7,11,6,7,5,4,22,21,6,7,5,13,5,4,10,4,5,9,4,6,5,4,6,4,2,3,6,2,5,5,7,6,5,4,4,3,6,3,2,3,6,7,2,7,6,31,5,8,8,4,6,3,4,5,6,6,3,4,3,5,2,38,6,6,2,6,1,6,2,4,3,4,7,7,9,5,4,4,39,5,3,5,0,6,3,8,3,10,4,4,9,5,1,6,4
23,8,7,15,8,7,9,6,9,7,4,17,17,6,3,8,6,5,10,2,7,4,3,4,6,6,5,6,3,6,9,6,5,6,8,8,4,4,11,6,9,11,2,8,1,1,4,7,7,3,34,3,5,6,2,6,5,7,7,1,1,2,7,6,5,3,30,3,0,6,2,2,4,3,3,8,6,7,3,6,3,5,11,30,2,3,3,7,6,5,7,5,7,5,6,4,6,4,4,4
15,4,4,8,5,9,5,3,8,8,3,18,19,4,9,8,6,7,7,3,4,8,8,4,7,5,6,7,11,2,4,3,2,8,4,5,0,7,6,7,2,7,3,4,5,0,7,5,1,4,41,4,1,3,3,5,10,4,7,10,4,3,2,5,3,7,40,5,4,4,5,9,7,1,4,6,6,3,4,4,7,3,2,31,2,4,3,4,7,6,6,7,4,4,6,4,2,2,5,4
12,11,15,8,6,6,9,6,6,11,2,13,19,8,7,12,13,3,7,5,2,10,7,8,4,8,5,5,5,3,3,7,4,9,5,3,1,7,9,4,2,7,4,3,1,5,9,9,5,9,26,7,3,4,2,6,2,1,5,5,2,5,3,3,4,3,42,7,8,3,6,7,4,3,0,3,7,5,8,1,4,8,7,32,7,3,0,11,3,4,8,9,4,2,4,8,2,3,2,1
18,11,7,11,6,7,8,4,6,11,5,15,11,2,7,5,14,2,6,3,7,4,4,6,5,7,4,8,8,2,3,4,4,8,3,8,8,3,8,7,4,6,3,6,2,7,4,6,4,1,42,5,7,8,4,10,10,2,5,3,5,6,4,2,4,3,28,2,6,6,7,5,10,7,3,7,5,1,7,4,2,2,3,36,2,7,5,6,4,6,6,4,6,2,0,6,7,3,5,3
13,9,14,10,9,8,11,7,7,10,4,9,13,3,4,7,14,0,10,4,10,9,11,7,6,9,5,6,5,2,4,7,3,5,6,2,2,6,11,3,1,7,3,4,5,2,8,7,3,6,36,2,6,3,4,9,3,9,8,3,6,2,6,2,3,7,40,2,4,1,3,6,4,6,2,5,5,6,5,7,3,7,5,33,6,2,5,3,2,4,2,3,0,4,5,6,3,3,2,7
12,7,9,7,8,9,11,3,8,9,5,12,10,7,11,8,10,6,10,7,5,2,3,5,9,6,2,5,8,4,4,4,2,6,4,3,6,8,8,3,9,8,6,5,3,7,3,2,1,4,31,2,3,5,7,6,2,7,5,3,4,5,5,6,3,5,40,4,4,3,4,5,4,7,2,4,2,5,7,5,3,7,11,36,4,4,3,5,5,7,6,8,6,6,5,3,7,2,6,10
24,7,9,7,7,10,10,6,3,12,9,15,12,4,7,8,8,7,8,4,7,10,3,3,10,5,4,4,6,3,5,8,3,3,4,4,5,7,4,5,1,6,5,1,2,6,3,5,6,3,28,5,3,2,3,1,3,4,5,3,9,3,6,7,4,8,37,6,3,6,2,5,2,8,4,4,5,4,4,4,6,5,9,42,4,4,4,10,4,4,4,10,4,6,4,3,9,3,5,8
10,4,3,16,12,8,5,2,5,7,2,12,24,5,3,4,8,3,7,5,5,4,3,0,9,3,2,3,5,4,9,3,4,14,2,4,3,6,8,2,3,8,0,2,3,4,6,3,3,7,34,4,5,2,6,3,9,6,3,2,1,4,5,8,1,2,26,4,4,4,6,6,3,5,1,5,1,8,8,2,7,4,3,37,6,4,10,2,2,4,9,5,2,6,3,3,9,6,7,5
17,7,7,11,6,13,10,7,5,8,6,11,19,8,10,6,11,1,10,4,9,9,3,2,4,4,11,3,9,7,3,4,5,9,8,2,5,3,8,5,4,7,4,3,3,4,5,7,3,7,23,2,4,2,5,4,4,5,4,1,2,5,2,5,2,5,36,3,4,5,1,7,3,4,5,7,8,4,5,8,3,6,7,30,4,5,5,2,1,4,3,4,3,5,4,4,4,3,3,8
5,2,8,5,3,5,11,3,6,9,3,11,15,5,3,9,10,3,12,6,3,5,7,7,7,4,3,3,5,6,2,8,7,4,5,1,7,4,8,5,10,6,3,3,3,3,6,3,6,5,32,4,6,5,2,2,5,3,3,4,4,4,3,4,2,6,33,4,8,6,6,3,4,2,3,8,5,4,5,7,6,4,5,34,4,6,1,4,4,4,7,5,3,2,4,6,4,9,3,5
17,2,5,14,9,9,8,7,8,8,2,12,16,4,3,2,5,5,5,5,8,7,2,4,7,8,2,4,11,6,6,6,3,5,8,2,5,5,5,2,4,5,2,2,5,2,5,4,6,3,25,2,2,7,3,4,7,3,5,2,2,2,4,3,4,5,49,8,4,4,5,4,3,6,9,6,5,7,4,4,6,3,7,41,6,5,3,4,6,5,5,5,3,5,6,5,4,6,6,3
22,8,11,9,13,9,9,5,6,6,6,7,16,4,10,3,10,4,4,5,8,2,6,2,4,5,3,4,13,3,2,6,0,3,3,3,6,6,8,5,5,12,4,2,5,5,4,12,5,6,22,5,5,1,3,3,2,7,5,6,3,4,4,7,2,3,29,3,3,1,5,3,5,8,4,3,4,7,4,6,3,4,4,31,2,6,3,6,2,4,5,5,4,2,2,3,2,3,6,3
13,2,7,13,8,10,4,5,6,11,6,15,12,3,6,5,7,9,9,2,6,11,5,5,9,7,8,3,11,7,4,10,1,9,11,5,6,6,13,1,3,7,7,3,4,3,7,2,3,4,24,4,5,4,1,4,6,4,7,2,5,2,4,8,4,1,36,7,6,6,4,6,2,3,2,6,5,5,2,4,6,4,2,39,7,4,2,8,2,3,4,7,4,2,11,5,3,2,3,7
17,8,8,11,7,18,8,7,7,5,4,13,12,7,7,3,11,6,11,5,4,8,10,6,14,6,5,7,3,2,5,12,5,8,10,4,5,6,10,3,7,6,3,5,8,7,10,5,3,2,32,2,4,3,5,7,5,3,2,6,12,4,6,4,7,4,27,6,2,4,1,4,6,6,4,3,2,4,6,5,8,3,3,32,7,8,2,4,4,1,3,2,7,1,8,7,3,3,3,4
10,3,7,8,4,9,7,7,7,10,4,14,16,4,4,8,9,5,11,4,3,9,5,5,13,4,3,8,7,5,5,6,2,7,9,12,0,5,11,11,6,10,11,9,7,3,7,4,5,11,37,7,6,8,8,1,6,8,5,11,4,5,6,1,6,3,37,2,5,6,1,4,5,10,5,3,3,1,2,7,5,2,2,26,5,3,6,3,6,1,3,2,4,3,6,11,2,3,7,5
16,3,8,8,10,9,8,6,8,8,4,12,8,5,9,8,9,4,3,3,5,10,5,4,14,9,5,7,3,3,6,4,2,5,5,8,3,4,12,2,2,10,3,9,2,10,3,3,3,4,41,6,4,4,3,8,2,5,7,4,4,5,6,1,7,6,34,7,4,4,3,5,11,4,7,5,5,4,8,2,5,3,6,34,4,7,5,8,3,3,3,5,4,0,5,6,7,4,5,4
15,7,5,10,5,11,6,1,4,6,6,10,15,5,9,2,12,8,6,6,7,4,4,1,9,5,2,7,8,5,4,5,5,7,7,2,3,6,11,8,1,6,2,8,5,4,4,8,1,1,32,8,4,9,1,4,2,5,1,6,5,1,10,5,4,5,28,3,6,1,3,10,6,5,2,5,4,3,5,8,5,8,7,43,5,2,4,7,3,9,4,6,7,5,4,4,11,3,5,5
16,11,12,11,6,9,15,2,6,13,3,15,12,2,3,3,8,2,5,4,3,12,7,3,2,4,4,6,6,5,2,6,2,7,3,5,5,4,7,2,5,3,5,4,5,2,4,2,4,4,29,4,5,4,2,7,5,9,9,6,5,4,8,6,6,0,33,5,12,3,5,5,8,1,3,5,8,5,1,6,6,1,3,35,2,6,4,6,3,2,4,5,4,4,8,4,5,1,7,1
18,4,6,6,11,5,5,3,8,4,3,17,18,5,5,6,3,6,9,2,6,7,4,5,8,5,9,7,7,1,5,5,3,7,6,6,7,4,7,8,8,5,2,4,3,5,4,3,4,3,30,2,8,2,5,4,2,2,5,4,3,6,2,7,4,9,28,5,5,6,4,9,7,1,7,3,4,5,2,2,3,4,4,28,2,4,6,3,3,6,6,5,6,5,6,4,4,1,8,6
10,6,6,13,3,17,12,6,2,6,6,19,22,6,9,4,9,3,8,9,7,7,10,3,9,10,4,9,8,4,5,14,6,6,5,2,4,8,10,5,5,12,5,4,5,1,6,3,3,7,32,1,2,1,8,6,3,3,4,3,3,5,4,3,6,6,31,2,2,9,7,5,4,3,3,4,3,7,3,5,5,4,5,24,8,4,3,7,4,3,1,4,4,0,3,3,6,4,4,4
11,11,13,7,4,8,7,2,4,8,3,11,18,4,8,5,13,5,6,6,7,7,7,2,6,7,9,7,5,5,5,8,7,7,4,5,6,3,9,3,4,5,5,4,1,2,1,3,3,2,27,6,8,2,6,6,2,3,2,2,7,0,4,9,2,5,31,2,5,3,5,6,5,3,3,6,4,12,4,5,3,3,2,40,5,7,1,4,5,5,8,5,2,5,5,11,5,4,5,3
